0,1,2,3,4,5,6
"Sunderland
3
–
Middlesbrough
2",bet-at-home,+120,+220,+215,"Saturday, 26 Apr 2008, 14:00",3:2
"Sunderland
3
–
Middlesbrough
2",bet365,+129,+210,+240,"Saturday, 26 Apr 2008, 14:00",3:2
"Sunderland
3
–
Middlesbrough
2",bwin,+120,+210,+210,"Saturday, 26 Apr 2008, 14:00",3:2
"Sunderland
3
–
Middlesbrough
2",Interwetten,+120,+179,+229,"Saturday, 26 Apr 2008, 14:00",3:2
"Sunderland
3
–
Middlesbrough
2",Pinnacle,+143,+200,+233,"Saturday, 26 Apr 2008, 14:00",3:2
"Sunderland
3
–
Middlesbrough
2",Unibet,+125,+220,+215,"Saturday, 26 Apr 2008, 14:00",3:2
"Sunderland
3
–
Middlesbrough
2",William Hill,+129,+210,+229,"Saturday, 26 Apr 2008, 14:00",3:2
"Derby
0
–
Reading
4",bet-at-home,+400,+260,-154,"Sunday, 11 May 2008, 14:00",0:4
"Derby
0
–
Reading
4",bet365,+450,+280,-189,"Sunday, 11 May 2008, 14:00",0:4
"Derby
0
–
Reading
4",bwin,+400,+240,-154,"Sunday, 11 May 2008, 14:00",0:4
"Derby
0
–
Reading
4",Interwetten,+320,+260,-167,"Sunday, 11 May 2008, 14:00",0:4
"Derby
0
–
Reading
4",Pinnacle,+459,+288,-154,"Sunday, 11 May 2008, 14:00",0:4
"Derby
0
–
Reading
4",Unibet,+450,+275,-167,"Sunday, 11 May 2008, 14:00",0:4
"Derby
0
–
Reading
4",William Hill,+400,+280,-152,"Sunday, 11 May 2008, 14:00",0:4
"Newcastle
2
–
Sunderland
0",bet-at-home,-125,+240,+330,"Sunday, 20 Apr 2008, 12:30",2:0
"Newcastle
2
–
Sunderland
0",bet365,-110,+240,+333,"Sunday, 20 Apr 2008, 12:30",2:0
"Newcastle
2
–
Sunderland
0",bwin,-133,+229,+340,"Sunday, 20 Apr 2008, 12:30",2:0
"Newcastle
2
–
Sunderland
0",Interwetten,-125,+210,+320,"Sunday, 20 Apr 2008, 12:30",2:0
"Newcastle
2
–
Sunderland
0",Pinnacle,-105,+235,+319,"Sunday, 20 Apr 2008, 12:30",2:0
"Newcastle
2
–
Sunderland
0",Unibet,-118,+225,+340,"Sunday, 20 Apr 2008, 12:30",2:0
"Newcastle
2
–
Sunderland
0",William Hill,-120,+240,+350,"Sunday, 20 Apr 2008, 12:30",2:0
"Fulham
0
–
Liverpool
2",bet-at-home,+265,+240,-105,"Saturday, 19 Apr 2008, 14:00",0:2
"Fulham
0
–
Liverpool
2",bet365,+240,+220,+125,"Saturday, 19 Apr 2008, 14:00",0:2
"Fulham
0
–
Liverpool
2",bwin,+220,+229,+104,"Saturday, 19 Apr 2008, 14:00",0:2
"Fulham
0
–
Liverpool
2",Interwetten,+200,+210,+120,"Saturday, 19 Apr 2008, 14:00",0:2
"Fulham
0
–
Liverpool
2",Pinnacle,+229,+235,+139,"Saturday, 19 Apr 2008, 14:00",0:2
"Fulham
0
–
Liverpool
2",Unibet,+300,+235,-111,"Saturday, 19 Apr 2008, 14:00",0:2
"Fulham
0
–
Liverpool
2",William Hill,+220,+225,+125,"Saturday, 19 Apr 2008, 14:00",0:2
